,sentence1,sentence2,score
2,한 여성이 다른 여성의 발목을 재고 있다.,한 여자는 다른 여자의 발목을 측정한다.,5.0
3,한 남자가 오이를 자르고 있다.,한 남자가 오이를 자르고 있다.,4.2
11,한 남자가 양파를 자르고 있다.,한 남자가 양파를 잘랐다.,5.0
13,한 남자가 생선을 썰어 열고 있다.,한 남자가 생선을 자르고 있다.,4.4
16,아기 판다가 미끄럼틀을 타고 아래로 내려간다.,판다가 미끄럼틀 아래로 미끄러진다.,4.4
22,두 얼룩말이 열린 필드에서 놀고 있다.,두 얼룩말이 들판에서 놀고 있다.,4.2
23,한 남자가 감자를 자르고 있다.,한 남자가 감자를 썰고 있다.,4.4
31,한 젊은 여성이 얼굴에 스티커를 붙이고 있다.,한 여성이 얼굴에 스티커를 붙이고 있다.,4.8
33,고양이가 옥수수를 먹고 있다.,고양이가 거미줄에서 옥수수를 먹고 있다.,4.25
38,한 여성이 빗속에서 춤을 추고 있다.,한 여자가 밖에 빗속에서 춤을 춘다.,5.0
48,한 소년이 달력을 공부한다.,한 소년이 달력을 보고 있다.,4.4
60,남자가 여자에게 키스하고 포옹하고 있다.,한 남자가 여자를 안고 키스하고 있다.,5.0
71,한 남자가 기타를 치고 노래를 부르고 있다.,한 남자가 기타로 노래를 부른다.,4.75
87,한 남자가 카드놀이로 장난을 치고 있다.,한 남자가 카드 트릭을 하고 있다.,5.0
95,그 여자는 감자 껍질을 벗겼다.,한 여성이 감자 껍질을 벗기고 있다.,4.75
97,누군가 키보드를 쳤다.,누군가가 타자를 치고 있다.,4.5
113,치타가 먹이를 쫓아 뛰어가고 있다.,치타는 들판을 가로질러서 먹이를 쫓는다.,4.4
125,한 여자와 남자가 빗속에서 춤을 추고 있다.,한 남자와 여자가 비 속에서 춤을 추고 있다.,5.0
128,두 남자가 링에서 주먹다짐을 하고 있다.,두 남자가 링에서 주먹다짐을 한다.,5.0
129,사람은 쟁반에 버터를 바른다.,사람이 쟁반에 버터를 바르고 있다.,4.25
133,한 여성이 포크로 감자를 찌르고 있다.,한 여성이 포크로 감자를 찔러 넣고 있다.,5.0
135,한 소년이 키보드를 연주하고 있다.,한 어린 소년이 키보드를 연주하고 있다.,4.8
136,한 여성이 플루트를 연주한다.,한 여성이 플루트를 연주하고 있다.,5.0
139,한 무리의 사람들이 집에서 물을 쓸어내고 있다.,사람들이 집에서 물을 쓸어내고 있다.,5.0
140,한 남자가 기타를 연주한다.,한 남자가 기타를 치고 있다.,5.0
142,한 여성이 절벽을 오르고 있다.,한 여성이 바위 위를 오르고 있다.,4.5
143,북극곰이 해마 무리를 향해 달려가고 있다.,북극곰이 한 무리의 해마를 쫓고 있다.,4.2
158,한 남자가 음악 키보드를 연주하고 있다.,한 남자가 키보드 피아노를 연주하고 있다.,5.0
160,한 남자가 트럼펫을 연주한다.,한 남자가 트럼펫을 연주하고 있다.,5.0
164,남자가 먹고 있다.,한 남자가 음식을 먹고 있다.,4.6
168,한 사람이 양파를 자르고 있다.,누군가가 양파를 자르고 있다.,4.6
190,한 남자가 냄비에 쌀을 붓는다.,한 남자가 밥을 그릇 냄비에 넣고 있다.,4.2
217,고양이는 움직이는 천장 팬에 갇힌다.,고양이가 팬 위에서 달랑 거리고 있다.,4.2
251,폐허의 계단 앞에서 모페드,폐허 앞에서의 모페드,4.4
260,소파에 앉아 있는 개 두 마리와 고양이 한 마리.,소파에 누워 있는 개 두 마리와 고양이 한 마리.,4.6
269,선로에 두 개의 녹색과 흰색 열차가 앉아 있다.,두 개의 녹색과 흰색 열차가 기차 선로에 앉아 있다.,5.0
273,클로즈업이 된 타조의 머리,타조의 얼굴의 클로즈업,4.4
274,나뭇가지 위에 자리 잡고 있는 녹색과 흰색의 새.,나뭇가지에 앉아 있는 녹색 머리에 하얀 가슴을 가진 새.,4.2
275,모자를 쓴 한 남자가 흰말을 탄다.,흰말을 타고 모자를 쓴 한 남자,5.0
283,겨울에 나뭇가지에 앉아 있는 작은 새,작은 새가 얼음이 쌓인 가지 위에 앉았다.,4.2
285,갈색 오리와 흰색 오리가 잔디 위에 서 있다.,갈색과 흰색 오리들이 녹색 잔디 위를 걷고 있습니다.,4.2
290,공중 비행 중인 파란색과 빨간색 비행기.,비행 중인 파란색과 빨간색 비행기,4.8
293,기차는 기차역에 있다.,그 기차는 기차역에 있다.,4.2
300,빨간색과 흰색의 버스가 영국 거리를 따라 운전한다.,빨간색과 흰색의 영국 버스가 거리를 따라 운전한다.,4.4
303,들판에서 풀을 뜯는 말 무리,풀밭에서 풀을 뜯는 말 무리,4.8
306,엘비스 복장을 한두 남자와 포즈를 취한 사람들 무리.,엘비스 복장을 한두 명의 다른 사람들과 함께 서 있는 한 무리의 사람들,4.2
308,물속을 헤치고 다니는 노란 카누를 탄 남자.,남자가 해안을 향해 노란 카누를 노를 저어대고 있다.,4.2
327,개 한 마리에 의해 염소 세 마리가 모아지고 있다.,세 마리의 염소가 개에게 쫓긴다.,4.6
330,역에 있는 기차.,역에 있는 기차,5.0
331,잔디밭에 서 있는 푸른 새,푸른 새가 녹색 잔디 위에 서 있다.,4.6
341,술집에 주차된 녹색 차,술집 밖에 주차된 녹색 차.,5.0
342,식당 식탁에 둘러앉은 사람들 무리.,한 무리의 사람들이 식당 테이블에 앉아 있다.,4.8
348,한 노인이 집에서 노트북으로 일한다.,노트북을 들고 소파에 앉아 있는 노신사.,4.2
